"Gene_ID","Gene_Symbol","logFC_24455","p_24455","padj_24455","logFC_63183","p_63183","padj_63183","meta_log2FC","meta_pvalue","meta_padj"
655,"BMP7",-4.03381768026243,1.97090460102009e-12,1.54563969967999e-10,-9.58418316168598,3.58410801817797e-08,2.06228612528916e-06,-4.03381768026243,1.97090460102014e-12,1.51849752774598e-10
670,"BPHL",-1.634027150238,1.08367786287807e-05,0.00017354019825132,-2.69446102016961,0.00139929687207261,0.0188630521829475,-1.634027150238,1.08367786287809e-05,0.000171694813456936
687,"KLF9",-0.79311220689176,0.0044857563291252,0.0262191311162327,-2.26047153458292,0.00196325148693443,0.0244443771690447,-0.79311220689176,0.00448575632912522,0.0260135279938045
712,"C1QA",1.70428081700694,8.88072167860506e-05,0.00105016834223221,3.57638994997753,7.70835839501533e-07,3.10539371014572e-05,1.70428081700694,8.88072167860493e-05,0.00103888544017236
713,"C1QB",2.2795691784516,1.16464458962458e-06,2.56147153012944e-05,4.39586956408479,2.60731757209029e-08,1.56057268538075e-06,2.2795691784516,1.16464458962456e-06,2.5286478263942e-05
714,"C1QC",2.25176319847031,4.34744885504783e-06,8.00864269619818e-05,3.84731978148903,8.71702820278843e-05,0.00192221941645436,2.25176319847031,4.34744885504794e-06,7.91047947538615e-05
718,"C3",3.48333075977856,6.03423398030948e-05,0.00075767453930253,6.58009704526958,1.20904783978243e-12,1.82544439161385e-10,3.48333075977856,6.03423398030953e-05,0.000749167373448558
730,"C7",-3.68954539519302,2.10336513027741e-09,9.02758162435682e-08,-4.40506422528392,1.98768238432223e-06,7.16377829652821e-05,-3.68954539519302,2.10336513027744e-09,8.8968556498018e-08
760,"CA2",-1.22149605888008,6.62431267034688e-05,0.00082050602064838,-3.23994374721474,0.0002922021998344,0.00518462700251885,-1.22149605888008,6.62431267034713e-05,0.000811222595225162
762,"CA4",-3.02601762948185,3.94754962523227e-08,1.2628478101792e-06,-5.55893057932905,5.1760336566814e-11,5.59646116466604e-09,-3.02601762948185,3.94754962523235e-08,1.24357036441607e-06
