GeneID,GSM1543544,GSM1543545,GSM1543546,GSM1543547
55718,808,367,1377,594
493,2202,519,2606,681
9877,1534,665,4190,1943
55781,488,272,266,270
54432,1301,1017,947,705
55706,498,303,476,303
1608,432,40,256,81
84256,800,466,1298,495
64718,158,49,503,89
6916,1173,314,568,207
64761,1236,346,765,390
5832,1942,474,7182,730
6894,652,148,967,339
5188,777,1278,884,1182
4084,1016,433,166,98
5128,284,73,655,241
548645,362,319,147,308
6515,2228,343,775,78
5662,187,50,290,73
9150,337,395,633,381
8531,5852,511,4117,1747
55359,4,7,16,4
65125,1433,1225,6404,7286
55749,1299,302,1598,1018
11054,2805,901,1476,1120
2769,302,16,56,17
84699,495,91,3,123
55650,550,522,736,626
10076,942,44,5943,156
9410,669,555,516,369
23504,4,13,26,40
1301,894,4,5,11
79832,470,160,559,238
51660,1437,1685,2291,3719
30,4279,12489,1267,14252
586,555,364,199,54
51564,2445,284,2717,527
11178,524,22,724,57
93166,132,5,86,35
7478,0,0,0,1
6676,6266,103,7456,110
10787,1233,671,4583,2345
60488,2608,1932,1233,1768
2983,1108,174,444,329
6433,789,364,1900,573
10188,1187,212,1133,341
23041,834,216,1886,979
1001,103,76,67,270
416,39,303,10,476
65056,1691,750,2062,1108
84649,81,290,27,284
7771,86,59,198,90
1431,4820,2735,6654,3337
4058,46,51,5,92
64951,9028,5462,1861,2740
63916,906,260,1616,703
23063,1025,401,988,677
81671,13469,720,4254,2367
10513,514,277,1297,619
5424,1005,625,350,185
124925,2,4,14,0
1975,13485,3978,11552,9249
28968,111,89,305,85
29998,233,45,608,93
56848,359,613,573,1461
6141,109845,30418,14989,12951
770,510,1532,983,713
79763,3995,9717,1618,3869
11338,3928,516,7198,2501
29924,3916,1628,3414,2313
55588,4272,2008,2608,1519
57491,39,4,45,8
2928,0,0,0,0
10838,597,148,764,314
105373378,597,148,764,314
8776,382,126,702,246
2817,1573,376,1088,430
57143,267,409,501,257
3029,3086,4954,5678,6595
6047,1020,387,3254,1073
841,369,84,497,272
22998,559,300,2698,1076
55726,743,335,390,309
51768,3527,2310,4736,7968
1747,1,1,0,3
53340,580,437,220,313
10077,95,22,39,20
8839,921,9,8,8
58524,0,0,244,0
10402,457,333,118,468
9914,13,122,17,135
4804,308,70,455,92
50937,148,17,3004,61
6873,334,27,802,278
28996,1321,601,11335,2346
23534,1368,585,1522,1111
8625,4116,5446,962,878
54929,3322,1392,2351,914
9170,708,139,214,114
5476,11116,14111,9266,13022
10147,2688,4340,1916,1453
6558,230,284,823,388
28966,593,444,337,272
2139,356,164,186,322
1265,1768,517,518,793
10347,394,388,998,171
9627,29,3,25,14
11218,256,140,438,248
53339,1462,1063,2096,1238
55711,225,32,104,32
8537,33,9,8,29
5449,0,1,0,1
1117,22,6,20,11
22904,599,5,1789,319
5378,210,92,537,152
10362,3401,3896,2119,1400
10203,415,127,566,278
6882,546,480,654,454
23294,390,309,5123,795
8943,3163,1863,4045,2209
7629,596,479,2511,960
9351,959,1077,1517,2493
4913,840,1429,255,284
54887,449,168,674,243
2773,2171,1256,1418,1245
3843,1965,1680,2310,1773
4942,1546,675,2607,3374
10885,267,77,1436,465
5586,431,191,1161,386
57418,2060,6025,464,1023
9697,731,145,670,337
9423,14,13,20,72
9340,19,0,4,1
55388,58,1,7,3
1606,380,115,277,132
2065,2724,2444,406,2343
54763,1,5,0,2
91526,37,13,117,53
3735,3422,2812,1276,2299
23536,193,134,171,190
10954,8170,283,1835,482
55633,258,196,555,360
4710,9836,3560,2220,4251
23013,943,85,1952,990
4638,4101,811,3203,2797
55854,898,506,1111,1145
6416,607,387,647,575
55248,229,438,260,542
9892,0,0,0,2
9748,624,355,2300,1028
51167,419,165,671,412
123956252,419,165,671,412
1308,609,1,77,3
119391,1409,2644,768,596
55176,155,48,306,78
5588,382,89,454,191
7089,417,249,3752,317
51665,813,1852,511,468
83641,2771,1427,5636,2992
4199,375,39,245,79
23216,2362,4427,1063,3167
8621,958,355,1139,565
10797,602,113,502,421
84679,507,89,1059,162
55810,709,192,774,217
4904,9516,3539,16297,7766
5141,453,76,1897,106
5525,894,637,668,708
1496,1,11,2,21
1994,1493,598,2239,1138
7075,1317,159,1804,425
57609,595,112,1036,403
6602,1315,260,2554,799
9682,759,254,2026,817
4802,1226,774,3351,1229
84217,40,269,82,277
6550,41,31,180,1319
25791,281,383,6,429
259266,84,0,8,8
8832,320,7,453,73
64834,3733,1339,3330,2323
6688,943,25,650,115
30834,297,182,89,55
744,61,89,16,217
51208,16,3,40,7
27107,393,195,358,284
4287,744,498,1428,679
9950,1323,570,1569,599
2263,1251,406,258,713
55631,168,54,376,240
51015,428,268,482,714
2009,418,143,1513,364
60487,168,11,268,255
55623,568,390,2526,862
91283,487,116,455,147
26153,155,19,645,107
55102,391,205,4292,1011
10565,856,408,1082,843
348158,1512,29922,9461,24473
57623,634,226,609,1124
9650,563,421,1248,920
10734,261,45,509,58
2235,241,534,773,1335
4649,520,293,1820,895
8653,1035,371,3,7
5214,27118,1323,41157,1229
3422,738,778,908,1034
6672,1119,651,1508,781
1316,1718,524,4329,2065
8611,2190,983,3611,2515
4756,1185,555,2354,1500
23471,8241,3039,3977,3169
5255,330,58,3180,168
7132,6810,1376,2869,1780
